BC_ID | Bullet_ID | Estimated_BC
1     | 1         | 0.150 
2     | 2         | 0.212 
3     | 3         | 0.150 
4     | 4         | 0.212 
5     | 5         | 0.150 
6     | 6         | 0.212 
7     | 7         | 0.162
8     | 8         | 0.150 
9     | 9         | 0.212 
10    | 10        | 0.150 
11    | 11        | 0.212 
12    | 12        | 0.212
13    | 13        | 0.149
14    | 14        | 0.162
15    | 15        | 0.180 
16    | 16        | 0.180 
17    | 17        | 0.180 
18    | 18        | 0.180 
19    | 19        | 0.150 
20    | 20        | 0.212 
21    | 21        | 0.243 
22    | 22        | 0.372 
23    | 23        | 0.275
24    | 24        | 0.243 
25    | 25        | 0.372 
26    | 26        | 0.125 
27    | 27        | 0.125 
28    | 28        | 0.408 
29    | 29        | 0.475 
30    | 30        | 0.336 
31    | 31        | 0.414 
32    | 32        | 0.408
33    | 33        | 0.218 
34    | 34        | 0.251 
35    | 35        | 0.243 
36    | 36        | 0.372 
37    | 37        | 0.243 
38    | 38        | 0.372 
39    | 39        | 0.496
40    | 40        | 0.496
41    | 41        | 0.496
42    | 42        | 0.243 
43    | 43        | 0.372 
44    | 44        | 0.550
45    | 45        | 1.050 
46    | 46        | 1.050 
47    | 47        | 0.450 
48    | 48        | 0.450 
49    | 49        | 0.243 
50    | 50        | 0.372 
51    | 51        | 0.150 
52    | 52        | 0.150 
53    | 53        | 0.150 
54    | 54        | 0.150 
55    | 55        | 0.162
56    | 56        | 0.243 
57    | 57        | 0.372 
